1	1	1	1	20	24	3	6	3	12.97937556	817.2425106
1	1	1	1	21	24	3	6	3	12.31149784	818.7897806
1	1	1	1	22	23	3	6	3	13.35103965	821.1372313
1	1	1	1	19	21	3	6	3	12.59389781	820.0338727
1	1	1	1	22	22	3	6	3	12.26505102	822.7987635
1	1	1	1	22	22	3	6	3	12.92873806	822.6011433
1	1	1	1	19	23	3	6	3	13.46012531	817.0874092
1	1	1	1	22	21	3	6	3	12.24758434	821.4726482
1	1	1	1	20	24	3	6	3	12.71784154	817.3269082
1	1	1	1	21	21	3	6	3	12.44867368	822.7440796
1	1	1	1	20	21	3	6	3	13.47051728	821.1009281
1	1	1	1	3	22	7	9	16	16.21810459	776.6399261
1	1	1	1	3	20	7	9	16	15.60454497	779.6536002
1	1	1	1	3	19	7	9	16	15.04663254	781.2766553
1	1	1	1	32	19	7	9	16	15.93006175	784.9108451
1	1	1	1	1	21	7	9	16	15.70335289	775.5463729
1	1	1	1	2	19	7	9	16	15.64077413	779.6357946
1	1	1	1	3	20	7	9	16	15.56150512	779.6747538
1	1	1	1	3	22	7	9	16	16.20165353	776.6482126
1	1	1	1	1	19	7	9	16	14.9824613	778.6110211
1	1	1	1	32	19	7	9	16	15.2904603	785.2092431
1	1	1	1	3	19	7	9	16	15.77431524	780.9234986
1	1	1	1	2	19	7	9	16	14.8130374	780.0427278
1	1	1	1	3	19	7	9	16	14.89485911	781.3503381
1	1	1	1	3	21	7	9	16	15.59161461	778.3077628
1	1	1	1	3	22	7	9	16	15.71630065	776.8927374
1	1	1	1	3	22	7	9	16	15.30219449	777.1014413
1	1	1	1	6	19	11	10	20	54.11009851	764.843754
1	1	1	1	6	22	11	10	20	53.86105009	760.2014972
1	1	1	1	3	19	11	10	20	52.27841022	760.9381523
1	1	1	1	3	20	11	10	20	52.1576103	759.4199585
1	1	1	1	5	21	11	10	20	54.70266129	759.8110026
1	1	1	1	1	29	9	4	3	44.67008849	765.7344762
1	1	1	1	1	32	9	4	3	47.09454523	759.963627
1	1	1	1	2	30	9	4	3	43.79384535	766.1468661
1	1	1	1	1	31	9	4	3	45.47648569	762.2855811
1	1	1	1	32	32	9	4	3	44.63501423	808.5915105
1	1	1	1	1	30	9	4	3	45.35527252	763.8782408
1	1	1	1	1	31	9	4	3	43.84062625	763.074285
1	1	1	1	31	31	9	4	3	43.49049554	808.9387827
1	1	1	1	22	22	3	6	3	13.10052754	822.5500048
1	1	1	1	19	21	3	6	3	12.44507391	820.0800487
1	1	1	1	19	23	3	6	3	13.47968653	817.0810994
1	1	1	1	19	24	3	6	3	13.0065857	815.8976712
1	1	1	1	19	23	3	6	3	13.15656403	817.1853397
1	1	1	1	21	22	3	6	3	13.35744008	821.1352864
1	1	1	1	20	23	3	6	3	12.88625705	818.6078664
1	1	1	1	32	19	7	9	16	15.94679443	784.9030407
1	1	1	1	4	20	11	10	20	54.62501527	759.8469926
1	1	1	1	3	21	11	10	20	56.25842038	755.8945343
1	1	1	1	5	19	11	10	20	56.06039902	762.3775213
1	1	1	1	6	21	11	10	20	53.06207197	762.1528549
1	1	1	1	3	20	11	10	20	54.09985778	758.5046982
1	1	1	1	5	22	11	10	20	52.4294664	759.2915729
1	1	1	1	3	22	11	10	20	55.12898635	754.8378136
1	1	1	1	6	19	11	10	20	55.14153797	764.3836509
1	1	1	1	4	21	11	10	20	54.4778253	758.3271257
1	1	1	1	5	20	11	10	20	51.94804489	762.6656188
1	1	1	1	4	20	11	10	20	54.84799122	759.7436602
1	1	1	1	6	19	11	10	20	56.21410018	763.9065559
1	1	1	1	5	19	11	10	20	56.10444285	762.3576957
1	1	1	1	1	29	9	4	3	44.40767358	765.857895
1	1	1.055555556	1	32	22	7	9	16	15.650321	787.4094521
1	1	1.055555556	1	12	13	8	18	5	98.98709063	768.9967295
1	1	1.055555556	1	32	32	9	4	3	47.05287065	806.4974974
1	1	1.055555556	1	1	29	9	4	3	43.69386869	764.1060639
1	1	1.055555556	1	32	31	9	4	3	47.84406371	804.6790579
1	1	1.055555556	1	1	30	9	4	3	47.01449523	760.9489958
1	1	1.055555556	1	2	30	9	4	3	43.79992392	764.0552292
1	1	1.388888889	1.0625	11	14	8	18	5	96.77694569	751.1571373
1	1	1.388888889	1.0625	12	15	8	18	5	98.99719817	750.3354611
1	1	1.388888889	1.0625	9	14	8	18	5	98.46615338	746.3552894
1	1	1.388888889	1.0625	9	13	8	18	5	90.580684	751.4511768
